0|iata_code|1|name_rus|2|name_eng|3|city_rus|4|city_eng|5|country_rus|6|latitude|7|longitude
AAA|AAA|Àíàà|Àíàà|Anaa|Anaa|Àíàà|Àíàà|Anaa|Anaa|Ôðàíöóçñêàÿ Ïîëèíåçèÿ|Ôðàíöóçñêàÿ Ïîëèíåçèÿ|-17.355000|-17.355000|-145.508333|-145.508333
AAB|AAB|||Arrabury|Arrabury|||Arrabury|Arrabury|Àâñòðàëèÿ|Àâñòðàëèÿ|-26.690556|-26.690556|141.047500|141.047500
AAC|AAC|||Al Arish International Airport|Al Arish International Airport|Àëü-Àðèø|Àëü-Àðèø|Al Arish|Al Arish|Åãèïåò|Åãèïåò|31.073333|31.073333|33.835833|33.835833
AAD|AAD|||Ad-Dabbah|Ad-Dabbah|||Ad-Dabbah|Ad-Dabbah|Ñóäàí|Ñóäàí|17.592777777778|17.592777777778|33.959166666667|33.959166666667
AAE|AAE|||Les Salines|Les Salines|||Annaba|Annaba|Àëæèð|Àëæèð|36.822222|36.822222|7.809444|7.809444
AAF|AAF|||Municipal|Municipal|||Apalachicola|Apalachicola|ÑØÀ|ÑØÀ|29.727607|29.727607|-85.027442|-85.027442
AAG|AAG|||Arapoti|Arapoti|||Arapoti|Arapoti|Áðàçèëèÿ|Áðàçèëèÿ|-24.103875|-24.103875|-49.789078|-49.789078
AAH|AAH|||Aachen/Merzbruck|Aachen/Merzbruck|Ààõåí|Ààõåí|Aachen|Aachen|Ãåðìàíèÿ|Ãåðìàíèÿ|50.823056|50.823056|6.186111|6.186111
AAI|AAI|||Arraias|Arraias|||Arraias|Arraias|Áðàçèëèÿ|Áðàçèëèÿ|-13.025|-13.025|-46.884|-46.884
AAJ|AAJ|||Cayana Airstrip|Cayana Airstrip|Àâàðàäàì|Àâàðàäàì|Awaradam|Awaradam|Ñóðèíàì|Ñóðèíàì|3.898611|3.898611|-55.577778|-55.577778
AAK|AAK|Àðàíóêà|Àðàíóêà|Aranuka|Aranuka|Àðàíóêà|Àðàíóêà|Aranuka|Aranuka|Êèðèáàòè|Êèðèáàòè|0.185278|0.185278|173.636667|173.636667
AAL|AAL|Ààëüáîðã|Ààëüáîðã|Aalborg|Aalborg|Ààëüáóðã|Ààëüáóðã|Aalborg|Aalborg|Äàíèÿ|Äàíèÿ|57.092789|57.092789|9.849164|9.849164
AAM|AAM|Ìàëà-Ìàëà|Ìàëà-Ìàëà|Mala Mala|Mala Mala|Ìàëà-Ìàëà|Ìàëà-Ìàëà|Mala Mala|Mala Mala|ÞÀÐ|ÞÀÐ|-24.818111|-24.818111|31.544584|31.544584
AAN|AAN|Ýëü-Àèí|Ýëü-Àèí|Al Ain|Al Ain|Àëü-Àéí|Àëü-Àéí|Al Ain|Al Ain|ÎÀÝ|ÎÀÝ|24.261667|24.261667|55.609167|55.609167
AAO|AAO|Àíàêî|Àíàêî|Anaco|Anaco|Àíàêî|Àíàêî|Anaco|Anaco|Âåíåñóýëà|Âåíåñóýëà|9.430225|9.430225|-64.470725|-64.470725
AAP|AAP|||Andrau Airpark|Andrau Airpark|||Houston, TX|Houston, TX|ÑØÀ|ÑØÀ|72.886944|72.886944|-55.596111|-55.596111
AAQ|AAQ|Âèòÿçåâî|Âèòÿçåâî|Vityazevo|Vityazevo|Àíàïà|Àíàïà|Anapa|Anapa|Ðîññèÿ|Ðîññèÿ|45.002097|45.002097|37.347272|37.347272
AAR|AAR|||Aarhus Airport|Aarhus Airport|Ààðóñ|Ààðóñ|Aarhus|Aarhus|Äàíèÿ|Äàíèÿ|56.300017|56.300017|10.619008|10.619008
AAS|AAS|||Apalapsili|Apalapsili|||Apalapsili|Apalapsili|Èíäîíåçèÿ|Èíäîíåçèÿ|-3.883|-3.883|139.283|139.283
AAT|AAT|Àëòàé|Àëòàé|Altay|Altay|Àëòàé|Àëòàé|Altay|Altay|Êèòàé|Êèòàé|47.749|47.749|88.089|88.089
AAU|AAU|Àñàó|Àñàó|Asau|Asau|Àñàó|Àñàó|Asau|Asau|Ñàìîà|Ñàìîà|-13.505778|-13.505778|-172.627972|-172.627972
AAV|AAV|||Allah Valley|Allah Valley|||Surallah|Surallah|Ôèëèïïèíû|Ôèëèïïèíû|6.366817|6.366817|124.751294|124.751294
AAW|AAW|||Abbottabad|Abbottabad|||Abbottabad|Abbottabad|Ïàêèñòàí|Ïàêèñòàí|34.150|34.150|73.217|73.217
AAX|AAX|||Araxa|Araxa|||Araxa|Araxa|Áðàçèëèÿ|Áðàçèëèÿ|-19.563247|-19.563247|-46.960358|-46.960358
AAY|AAY|Àëü-Ãàéäà|Àëü-Ãàéäà|Al Ghaydah|Al Ghaydah|Àëü-Ãàéäà|Àëü-Ãàéäà|Al Ghaydah|Al Ghaydah|Éåìåí|Éåìåí|16.191666|16.191666|52.175000|52.175000
AAZ|AAZ|||Ambriz|Ambriz|||Ambriz|Ambriz|Àíãîëà|Àíãîëà|14.865550|14.865550|-91.501981|-91.501981
ABA|ABA|Àáàêàí|Àáàêàí|Abakan|Abakan|Àáàêàí|Àáàêàí|Abakan|Abakan|Ðîññèÿ|Ðîññèÿ|53.740000|53.740000|91.385000|91.385000
ABB|ABB|||RAF Station|RAF Station|Àáèíãäîí|Àáèíãäîí|Abingdon|Abingdon|Âåëèêîáðèòàíèÿ|Âåëèêîáðèòàíèÿ|51.690556|51.690556|-1.316667|-1.316667
ABC|ABC|||Los Llanos|Los Llanos|Àëáàñåò|Àëáàñåò|Albacete|Albacete|Èñïàíèÿ|Èñïàíèÿ|38.948528|38.948528|-1.863517|-1.863517
