№ сертификата  эксплуатанта;Наименование списочное;Наименование полное;Аэропорты  базирования;Типы, количество ВС 
551;Абакан Эир;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «АБАКАН ЭИР»;Абакан;Ил-76Т  (2), Ил-76ТД  (3), Ми-26Т  (2), Ми-8МТВ-1  (3), Ми-8Т  (4)
481;Авиа Менеджмент Груп;Акционерное общество «Авиа Менеджмент Груп»;Иваново (Южный);PC-12/45  (2), PC-12/47  (3), PC-12/47E  (3), Pilatus PC-12/45  (2)
554;Авиакомпания «Лайт Эйр»;Закрытое акционерное общество Авиакомпания «Лайт Эйр»;Уфа;R44  (12), R-44-II  (4), R66  (1), Ан-2  (6)
284;Авиакомпания СОКОЛ;Закрытое акционерное общество  Авиакомпания «СОКОЛ»;Новотитаровская-Сокол;Ми-2  (1), Ми-8Т  (2)
442;Авиакон Цитотранс;Акционерное общество  Авиакомпания «АВИАКОН ЦИТОТРАНС»;Екатеринбург (Кольцово);Ил-76ТД  (4)
120;Авиалифт Владивосток;Закрытое акционерное общество «Авиалифт Владивосток»;Владивосток (Кневичи);Ка-32С  (5)
560;Авиасервис (Казань) (ИНН 1624446694);Общество с ограниченной ответственностью «Авиасервис»;Бугульма  Казань;CL-600-2B16  (1), CL-600-2B16 (CL-604)  (2), CL-600-2B16 (CL-605)  (1), CL-600-2B19 (CL-850)  (1), FALCON-7X  (1), Ми-8МТВ-1  (2)
458;Авиастар-ТУ;Общество с ограниченной ответственностью  Авиационная компания «Авиастар-ТУ»;Москва (Домодедово)  Москва (Шереметьево)  Раменское;Ту-204С  (3)
9;Авиашельф;ЗАО совместное предприятие «Авиационная компания Авиашельф-Aviashelf»;Ноглики  Оха (Новостройка)  Южно-Сахалинск (Хомутово);Ми-8МТВ-1  (8), Ми-8Т  (2)
486;Аврора;Акционерное общество «Авиакомпания «Аврора»;Владивосток (Кневичи)  Южно-Сахалинск (Хомутово);A-319-111  (8), A319-112  (1), B-737-500  (1), B-737-548  (1), DHC-6 Series 400 Twin Otter  (2), DHC-8-201  (2), DHC-8-311  (2), DHC-8-315  (2), DHC-8-402  (1)
140;АЗУР эйр;Общество с ограниченной ответственностью «АЗУР эйр»;Красноярск (Емельяново)  Красноярск (Черемшанка)  Москва (Домодедово);B-757-200  (9), B-767-300  (5)
533;Ай Флай;Общество с ограниченной ответственностью  «АЙ ФЛАЙ»;Москва (Внуково);A-330-322  (2), B-757-200  (1), B-757-28A  (1)
230;АЛРОСА Авиакомпания АО;Акционерное общество «Авиакомпания  АЛРОСА»;Ленск  Мирный  Москва (Домодедово)  Новосибирск (Толмачево);B-737-800  (3), Ан-2  (2), Ан-24РВ  (3), Ан-26-100  (1), Ан-38-100  (1), Ил-76ТД  (1), Ми171  (2), Ми-26Т  (1), Ми-8МТВ-1  (1), Ми-8Т  (16), Ту-134Б  (1), Ту-154М  (2)
333;Алтайские Авиалинии;Алтайское краевое государственное унитарное предприятие «Алтайские авиалинии»;Барнаул;Ми-8  (1), Ми-8Т  (4)
555;Амур;Общество с ограниченной ответственностью « Авиационная компания «Амур»;Мар-Кюель  Хабаровск (Новый);Ан-24РВ  (1), Ан-26  (2)
527;Амурская авиабаза;Государственное автономное  учреждение  Амурской области «Амурская авиабаза»;Благовещенск (Игнатьево);Ан-2  (5), Ми-8Т  (4)
477;Ангара АК ЗАО;Закрытое акционерное общество «Авиакомпания «Ангара»;Иркутск  Киренск  Нижнеудинск;Ан-148-100Е  (5), Ан-2  (3), Ан-24Б  (1), Ан-24РВ  (6), Ан-26-100  (2), Ми-8МТВ-1  (2), Ми-8П  (1), Ми-8Т  (10)
124;Арго;Акционерное общество Авиакомпания «АРГО»;Сургут;Ми-8  (1), Ми-8МТВ-1  (1), Ми-8Т  (8)
541;АРКТИКА;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  «АВИАКОМПАНИЯ «АРКТИКА»;Мурманск;Ми-8АМТ  (1), Ми-8МТВ-1  (1), Ми-8Т  (5)
563;Арт Авиа;Общество с ограниченной ответственностью «Арт Авиа»;Москва (Внуково)  Сочи;AW109SP  (4), AW139  (7), Ми-8МТВ  (1), Ми-8МТВ-1  (2)
499;АТРАН;Общество с ограниченной ответственностью  «АТРАН»;Москва (Домодедово)  Москва (Шереметьево);B-737-400  (1)
240;АэроБратск;Публичное акционерное общество «Аэропорт Братск»;Братск;Ми-8  (1), Ми-8Т  (5), Як-40  (2)
517;АэроГео;Общество с ограниченной ответственностью «АэроГео»;Енисейск  Красноярск (Черемшанка);Bell-407  (1), Cessna T206H  (3), Cessna-208B  (2), EC 130 B4  (1), EC-120B  (2), R44  (3), R-44-II  (6), Ми-2  (3), Ми-8МТВ-1  (1), Ми-8Т  (14)
211;АЭРОКУЗБАСС;Общество с ограниченной ответственностью  «АЭРОКУЗБАСС»;Новокузнецк (Спиченково);Ми-8Т  (2)
505;Аэролимузин;Общество с ограниченной ответственностью «Аэролимузин»;Москва (Домодедово);BAe 125-800A  (2), HS-125-700A  (1), HS-125-700B  (2)
539;Аэропорт Оренбург;Государственное унитарное предприятие Оренбургской области «Международный аэропорт «Оренбург»;Оренбург;L-410 UVP-E20  (7), Ан-2  (7), Ми-2  (2), Ми-8П  (1), Ми-8Т  (2)
408;Аэросервис (Даг.);Общество с ограниченной ответственностью  Авиакомпания «Аэросервис»;Махачкала (Уйташ);Ан-2  (1), Ан-2Т  (1), Ан-24РВ  (3)
561;Аэросервис (Чита);Общество с ограниченной ответственностью «Аэросервис»;Чита (Кадала);L-410 UVP-E20  (2), Ан-2  (2)
1;Аэрофлот ПАО;Публичное акционерное общество  «Аэрофлот - российские авиалинии»;Владивосток (Кневичи)  Магадан (Сокол)  Москва (Шереметьево)  Пермь (Большое Савино)  Санкт-Петербург (Пулково)  Сочи;A-319-111  (3), A-320-200  (1), A-320-212  (1), A320-214  (61), A-321-211  (26), A-330-243  (5), A-330-343  (17), B-737-8LJ  (15), B777-3MOER  (13), RRJ-95B  (25)
237;Балтийские авиалинии;Закрытое акционерное общество «Авиакомпания «Балтийские авиалинии»;Санкт-Петербург (Пулково);Ми-8Т  (2)
126;БАРКОЛ;Общество с ограниченной ответственностью  Авиакомпания «БАРКОЛ»;Липецк  Москва (Внуково)  Ярославль(Туношна);R44  (8), R-44-II  (13), Ми-8ПС  (1), Ми-8Т  (12), Як-40  (1), Як-40К  (1)
218;Бурал;Открытое акционреное общество «Авиакомпания Бурятские авиалинии»;Улан-Удэ (Мухино);Ан-24Б  (1), Ан-24РВ  (1), Ми-8Т  (2)
569;ВЕКТОР АПК ООО;Общество с ограниченной ответственностью «Авиационно-Промышленная Компания ВЕКТОР»;Общество с ограниченной ответственностью «Авиационно-Промышленная Компания ВЕКТОР»;Ми-8МТВ-1  (5)
79;Вертикаль-Т ООО;ООО Авиакомпания «Вертикаль-Т»;Тверь (Змеево);Ми-8АМТ  (2), Ми-8МТВ-1  (2), Ми-8Т  (4)
537;ВЗЛЕТ НПО, ЗАО;Закрытое  акционерное общество  «НПО «Взлет»;Усинск;Ми-8ПС-9  (1), Ми-8Т  (3)
451;ВИМ-АВИА;Общество с ограниченной ответственностью  «Авиакомпания «ВИМ-АВИА»;Москва (Домодедово);A-319  (3), A-319-111  (1), B-757-200  (6)
536;ВИТЯЗЬ-АЭРО АК ООО;Общество с ограниченной ответственностью авиационная компания «ВИТЯЗЬ-АЭРО»;Петропавловск-Камчатский (Елизово);Ми-8МТВ-1  (2), Ми-8П  (4), Ми-8Т  (10)
21;ВОЛГА-ДНЕПР;Общество с ограниченной ответственностью «Авиакомпания Волга-Днепр»;Ульяновск (Баратаевка)  Ульяновск (Восточный);Ан-124-100  (10), Ил-76ТД-90ВД  (5)
195;Вологодское АП;Акционерное общество «Вологодское авиационное предприятие»;Вологда;Ми-8Т  (7), Як-40  (4), Як-40К  (1)
266;Восток;Открытое акционерное общество «Авиационная компания «Восток»;Хабаровск(МВЛ);AS-350B3  (1), Ан-38-100  (1), Ми-8АМТ  (1), Ми-8МТВ-1  (8), Ми-8П  (1), Ми-8ПС-9  (1), Ми-8Т  (7)
423;Газпром авиа ООО;Общество с ограниченной ответственностью Авиапредприятие «Газпром авиа»;Белгород  Белоярский  Колпашево  Москва (Внуково)  Надым  Остафьево  Пермь (Большое Савино)  Самара (Смышляевка)  Советский  Ухта;B-737-7HD  (1), B-737-700  (2), EC-120B  (1), EC-135 T2+  (8), FALCON 900EX EASy  (4), FALCON-900B  (2), RRJ-95LR-100  (8), Ми171  (1), Ми-8АМТ  (15), Ми-8МТВ  (1), Ми-8МТВ-1  (14), Ми-8П  (1), Ми-8ПС  (3), Ми-8Т  (36), Ту-154М  (3), Як-40  (2), Як-40К  (2)
382;Геликс;Закрытое акционерное общество «Авиакомпания «Геликс»;Пермь(Большое Савино);Ми-2  (2), Ми-8Т  (14)
515;Глобус;Общество с ограниченной ответственностью «Глобус»;Москва (Домодедово)  Новосибирск (Толмачево);B-737-800  (13)
519;Грозный Авиа ПАО;Публичное акционерное общество «Авиакомпания «Грозный Авиа»;Грозный (Северный);Як-42Д  (9)
549;Дальнереченск Авиа;Общество с ограниченной ответственностью «Дальнереченск Авиа»;Дальнереченск;Ан-2  (2), Ан-2Т  (1), Ми-8  (1), Ми-8Т  (5)
114;Дельта К;Общество с ограниченной ответственностью  Производственно-коммерческое авиационное предприятие «Дельта К»;Нерюнгри (Чульман);Ан-2  (2), Ми-8  (1), Ми-8Т  (5)
491;Джет Эйр Групп;ОАО «Джет Эйр Групп»;Москва (Шереметьево);EMB-135BJ  (2), Gulfstream GV-SP (G550)  (1), HS-125-700B  (1)
89;ДОНАВИА;Акционерное общество  «ДОНАВИА»;Минеральные Воды  Москва (Шереметьево)  Ростов-на-Дону;A-319-111  (6), A319-112  (3), A-319-115  (1)
532;Ельцовка АП ЗАО;ЗАО «Авиапредприятие «Ельцовка»;Новосибирск (Ельцовка);Ми-8  (1), Ми-8Т  (16)
