ZA-7099,МЧС России ФГУАП,Доминика
PF-3879,МАЦ,Индия
FX-2700,Авиалифт Владивосток,Индия
WH-2404,СИМАРГЛ,Ирландия
TO-5734,Победа,Йемен
FD-2484,Абакан Эир,Габон
WV-6805,Авиасервис (Казань) (ИНН 1624446694),Кокосовые (Килинг) острова
NL-6844,БАРКОЛ,Гренада
TC-6295,Джет Эйр Групп,Багамы
MH-9359,Амурская авиабаза,Афганистан
MC-3442,Летные  проверки и системы,Буркина-Фасо
PU-3344,Авиашельф,Доминиканская Республика
HV-9460,Амурская авиабаза,Кипр
LQ-4178,Псковавиа,Корея, Республика
FI-5738,Ижавиа ОАО,Белиз
IO-7628,Саратовские авиалинии,Гватемала
AV-3720,ПАНХ АК ООО (Улан-Удэ),Ангола
HK-1951,Летные  проверки и системы,Грузия
FI-5230,Дальнереченск Авиа,Камерун
NC-1171,Арт Авиа,Ирак
SC-4480,Нижневартовскавиа,Китай
XU-3797,Вертикаль-Т ООО,Бонайре, Саба и Синт-Эстатиус
CM-8566,Амурская авиабаза,Болгария
OK-5245,Авиа Менеджмент Груп,Камерун
BN-8142,Бурал,Камбоджа
GO-8159,Нордавиа-регион.АЛ,Италия
DI-6994,Норильск Авиа,Конго, Демократическая Республика
GC-8303,Авиасервис (Казань) (ИНН 1624446694),Кабо-Верде
LN-3687,Аэросервис (Чита),Бенин
LB-8731,Авиастар-ТУ,Коморы
SF-3602,Камчатское АП ОАО,Западная Сахара
ID-4410,Авиалифт Владивосток,Германия
RH-1323,Грозный Авиа ПАО,Гернси
LF-4932,Нижневартовскавиа,Ангола
QZ-8113,АРКТИКА,Беларусь
Oe-3853,АЭРОКУЗБАСС,Албания
WI-9034,Авиасервис (Казань) (ИНН 1624446694),Гвинея
HA-1638,Уральские авиалинии,Барбадос
XB-1045,Уктус,Западная Сахара
QP-7547,Полярные авиалинии АО,Гернси
PV-2208,Уральские авиалинии,Ирак
DW-1591,Сибирь,Грузия
CM-5503,Геликс,Испания
FN-2081,Сибирь,Кирибати
FY-5338,Псковавиа,Габон
DR-9158,РусДжет,Индонезия
YR-5697,Ангара АК ЗАО,Катар
OC-4161,Авиастар-ТУ,Барбадос
eA-4793,СЕВЕРСТАЛЬ АП ООО,Албания
KQ-7176,Амурская авиабаза,Египет
Xe-2989,Комиавиатранс ОАО,Гондурас
DA-3413,МАЦ,Кирибати
PL-3488,Победа,Бутан
ZR-5608,Костромское АП ОАО,Ботсвана
LK-1072,АэроГео,Антарктида
CH-1440,Саратовские авиалинии,Джибути
RH-2629,ВОЛГА-ДНЕПР,Бельгия
UH-7302,РОЯЛ ФЛАЙТ,Гана
TJ-3920,Уктус,Бельгия
VH-6437,Универсал-Авиа ГУП РК,Аруба
Me-9297,РусЛайн,Джибути
OV-9507,Универсал-Авиа ГУП РК,Венгрия
AQ-2623,Роствертол-Авиа, ЗАО,Кения
IP-5426,ИрАэро АК АО,Австралия
OZ-3291,Бурал,Йемен
HR-9301,Арго,Гана
QR-7706,Костромское АП ОАО,Гернси
KS-3322,Северный Ветер,Гвинея-Бисау
ee-8802,ВИМ-АВИА,Антигуа и Барбуда
DA-1163,Газпром авиа ООО,Багамы
WZ-5494,АРКТИКА,Беларусь
CN-2740,Алтайские Авиалинии,Корея, Республика
DS-5174,Псковавиа,Бенин
MY-7904,Глобус,Грузия
YK-3308,Авиакомпания «Лайт Эйр»,Исландия
LV-9858,Петрозаводск Аэропорт,Катар
BM-4778,ПАНХ АК ООО (Улан-Удэ),Ангилья
BF-3310,Ай Флай,Афганистан
