WP-2032,РУССЭЙР,Белиз
WO-8257,Вертикаль-Т ООО,Швеция
FG-8376,Авиашельф,Кения
OA-4263,Нижневартовскавиа,Токелау
JW-4344,Арт Авиа,Тувалу
BP-9501,Победа,Мальдивы
KH-6924,ТУРУХАН,Маврикий
XQ-4163,СИМАРГЛ,Афганистан
XO-2782,Аэролимузин,Виргинские острова, США
KT-5769,Арго,Украина
DP-7719,Северо-Запад,Западная Сахара
NS-7778,Ай Флай,Кирибати
ZT-5534,СИМАРГЛ,Камерун
GF-6455,Ред Вингс АО,Палау
YQ-8233,ЮТэйр ЗАО,Австрия
AG-2959,ВОЛГА-ДНЕПР,Гренландия
ZN-8965,Казанское авиапредприятие,Бутан
RJ-9480,Грозный Авиа ПАО,Болгария
ZG-1525,Нижневартовскавиа,Сен-Мартен
YA-4807,ДОНАВИА,Хорватия
Ge-4510,КрасАвиа,Либерия
XX-9618,Летные  проверки и системы,Турция
DT-8498,Авиакон Цитотранс,Гвинея
eV-5237,Уральские авиалинии,Россия
ZX-2859,АэроГео,Мали
HJ-3816,РусДжет,Монако
Xe-7358,Сибирь,Лаос
JN-3072,ВИМ-АВИА,Таиланд
JV-7436,Уральские авиалинии,Конго
WM-9944,Петрозаводск Аэропорт,Болгария
SL-9870,Геликс,Монако
JK-4747,Ижавиа ОАО,Лаос
IN-5347,АРКТИКА,Венесуэла Боливарианская Республика
OD-7321,Уктус,Ботсвана
YG-7271,Вертикаль-Т ООО,Израиль
CI-4579,Казанское авиапредприятие,Афганистан
CM-7518,Восток,Исландия
UZ-9122,МЧС России ФГУАП,Никарагуа
GK-6562,СиЛА,Того
YO-8929,Дельта К,Ирландия
WS-3174,Победа,Мартиника
Te-8334,Аэросервис (Чита),Папский Престол (Государство &mdash; город Ватикан)
VN-8255,Казанское авиапредприятие,Северные Марианские острова
eY-6321,Аэрофлот ПАО,Токелау
PU-8849,Аэропорт Оренбург,Эль-Сальвадор
OO-3579,Универсал-Авиа ГУП РК,Кабо-Верде
DS-6256,Арт Авиа,Науру
IP-8268,Псковавиа,Суринам
eT-9464,ПАНХ АК ООО (Улан-Удэ),Нидерланды
GY-7157,Бурал,Виргинские острова, США
BS-3851,ТУРУХАН,Тонга
OV-8377,Аэросервис (Даг.),Конго
FM-7519,ЮТэйр ЗАО,Гваделупа
PD-8173,Сибирь,Испания
MY-5866,СКОЛ,Остров Норфолк
WU-7324,Сибирь,Словения
TF-5445,ЧукотАВИА,Казахстан
MR-5285,Балтийские авиалинии,Тувалу
IR-2200,ЛУКОЙЛ-АВИА ООО,Россия
KV-5868,РОЯЛ ФЛАЙТ,Тонга
PM-3990,ЭйрБриджКарго,Танзания, Объединенная Республика
VR-5636,РОЯЛ ФЛАЙТ,Туркмения
DX-1765,Аэролимузин,Замбия
MP-5928,ЧукотАВИА,Виргинские острова, США
JP-5194,Камчатское АП ОАО,Таджикистан
eI-5125,Глобус,Французская Гвиана
RO-5462,Вологодское АП,Дания
VO-1215,ЮТэйр-Вертол,Ботсвана
TT-4812,АТРАН,Гватемала
UY-3071,Казанское авиапредприятие,Польша
NA-1900,Полярные авиалинии АО,Багамы
WZ-2395,Комиавиатранс ОАО,Гватемала
We-1738,ЭйрБриджКарго,Индия
eQ-1796,АЛРОСА Авиакомпания АО,Бутан
VD-5654,Авиашельф,Сингапур
UR-9886,Костромское АП ОАО,Тунис
eM-2121,Аэросервис (Даг.),Доминиканская Республика
XY-8652,Авиасервис (Казань) (ИНН 1624446694),Франция
YY-4753,Авиашельф,Китай
QK-2374,Сибирь,Украина
IL-8250,Арт Авиа,Бельгия
Me-9769,АЛРОСА Авиакомпания АО,Острова Кайман
GA-4852,ВИТЯЗЬ-АЭРО АК ООО,Лихтенштейн
QT-7172,Норильск Авиа,Западная Сахара
LS-5497,Роствертол-Авиа, ЗАО,Мали
YR-2870,АэроГео,Либерия
GB-2733,Костромское АП ОАО,Тонга
eN-7377,ВИМ-АВИА,Мьянма
LH-2731,Арго,Палестинская территория, оккупированная
UM-3287,РОЯЛ ФЛАЙТ,Афганистан
SW-8352,МАЦ,Эстония
OA-6125,Победа,Ирландия
CO-8154,Амурская авиабаза,Бонайре, Саба и Синт-Эстатиус
OJ-4431,Камчатское АП ОАО,Кирибати
HH-5387,АЛРОСА Авиакомпания АО,Объединенные Арабские Эмираты
BZ-7213,Балтийские авиалинии,Южная Африка
LN-9983,ЭйрБриджКарго,Мальдивы
QZ-2832,РОЯЛ ФЛАЙТ,Бермуды
PQ-1030,Ельцовка АП ЗАО,Ангилья
BS-9360,Летные  проверки и системы,Абхазия
eU-4640,Казанское авиапредприятие,Уоллис и Футуна
VK-1047,Роствертол-Авиа, ЗАО,Сан-Марино
GF-2679,Уральские авиалинии,Бурунди
JD-6322,Икар ООО,Пуэрто-Рико
HQ-1629,ЛУКОЙЛ-АВИА ООО,Гана
FB-6137,Нарьян-Марский ОАО,Сент-Винсент и Гренадины
MA-9520,Норильск Авиа,Южная Африка
SA-9565,Авиа Менеджмент Груп,Филиппины
DY-2675,Когалымавиа ООО,Замбия
WO-8843,Аэросервис (Чита),Барбадос
PP-3640,Тулпар Эйр,Чешская Республика
WW-5297,ЮТэйр-Вертол,Французская Гвиана
SO-4140,Ельцовка АП ЗАО,Швеция
VN-6310,Победа,Мозамбик
JM-9141,РУССЭЙР,Кения
NP-3027,ИрАэро АК АО,Кирибати
DK-4018,Авиа Менеджмент Груп,Боливия, Многонациональное Государство
SA-9329,Уральские авиалинии,Малые Тихоокеанские отдаленные острова Соединенных Штатов
GL-1234,Ельцовка АП ЗАО,Бермуды
PF-1843,СКОЛ,Гонконг
WM-4934,Казанское авиапредприятие,Республика Македония
IT-6492,АэроГео,Бруней-Даруссалам
HF-3617,ВОЛГА-ДНЕПР,Мальдивы
GV-8788,Дельта К,Канада
CJ-8026,Таймыр ОАО,Свазиленд
NJ-6912,Аврора,Перу
WG-2874,Оренбургские АЛ АО,Белиз
OF-5055,ЛУКОЙЛ-АВИА ООО,Беларусь
JR-4728,Когалымавиа ООО,Перу
KZ-7403,Конверс Авиа,Коморы
XV-7395,ПАНХ АК ООО (Улан-Удэ),Австралия
Xe-9733,СИРИУС-АЭРО,Коста-Рика
VD-2995,Арго,Сьерра-Леоне
DK-2063,Балтийские авиалинии,Дания
TB-4321,Дельта К,Белиз
IQ-6072,Амур,
DU-7791,ЮТэйр ЗАО,Сент-Китс и Невис
GG-3486,Арго,Доминиканская Республика
FA-3461,Петрозаводск Аэропорт,Никарагуа
GZ-3728,,Сан-Марино
GI-7982,ЭйрБриджКарго,Нидерланды
PA-4917,Тулпар Эйр,Кокосовые (Килинг) острова
KX-8015,Камчатское АП ОАО,Новая Зеландия
UD-8033,РОЯЛ ФЛАЙТ,Кабо-Верде
ND-6003,ЮТэйр ЗАО,Киргизия
LP-9676,Глобус,Бонайре, Саба и Синт-Эстатиус
eK-4093,Россия СЛО,Маврикий
IJ-4578,СИМАРГЛ,Синт-Мартен
VB-1761,Ай Флай,Гибралтар
DO-3733,Ай Флай,Эль-Сальвадор
TU-2788,Уктус,Непал
PX-6126,Тулпар Эйр,Португалия
RO-6939,ИрАэро АК АО,Туркмения
HS-8065,Сибирь,Индия
PH-3979,Икар ООО,Эквадор
CP-6885,РусДжет,Венесуэла Боливарианская Республика
CC-7077,Ай Флай,Шри-Ланка
ON-6268,ПАНХ НПК ОАО,Ниуэ
JY-9627,Тулпар Эйр,Джибути
CB-7505,Вологодское АП,Бутан
DJ-1257,АЗУР эйр,Ливийская Арабская Джамахирия
KV-4528,Икар ООО,Французская Гвиана
VM-2223,Авиакомпания СОКОЛ,Алжир
XR-5693,Арт Авиа,Португалия
OG-4417,ДОНАВИА,Джибути
MO-1066,РУССЭЙР,Гвинея
IG-3337,Авиастар-ТУ,Таиланд
KQ-6021,ЧукотАВИА,Ямайка
WP-3711,Костромское АП ОАО,Нигерия
FD-6708,ВОЛГА-ДНЕПР,Свазиленд
RK-5691,ПАНХ АК ООО (Улан-Удэ),Мексика
XM-5510,Авиастар-ТУ,Гваделупа
CW-5383,Уктус,Самоа
ML-3971,Авиакомпания «Лайт Эйр»,Афганистан
FQ-1699,Икар ООО,Андорра
QU-8980,ЮВТ АЭРО,Грузия
HG-7923,Таймыр ОАО,Сьерра-Леоне
AX-8253,Аэросервис (Чита),Питкерн
JQ-2546,Конверс Авиа,Египет
FG-9327,РУССЭЙР,Доминиканская Республика
YG-5726,Авиасервис (Казань) (ИНН 1624446694),Нигерия
VS-6872,Победа,Эфиопия
JJ-6947,ЧукотАВИА,Армения
HS-8372,АЗУР эйр,Бурунди
QL-1311,Северо-Запад,Алжир
PB-8050,АРКТИКА,Остров Мэн
MA-9367,Таймыр ОАО,Австрия
Ce-6388,Вологодское АП,Остров Буве
ee-9915,ДОНАВИА,Гуам
RO-4411,ПАНХ АК ООО (Улан-Удэ),Буркина-Фасо
DV-3649,ЮТэйр-Вертол,Сербия
DT-7174,ПАНХ НПК ОАО,Малави
MS-4971,Восток,Остров Мэн
KN-4824,Роствертол-Авиа, ЗАО,Вануату
LX-4299,Тулпар Эйр,Синт-Мартен
BM-6554,Алтайские Авиалинии,Оман
HO-8842,Авиашельф,Бермуды
YQ-7188,Аэросервис (Даг.),Мексика
ZB-8906,Костромское АП ОАО,Синт-Мартен
Se-6222,ИрАэро АК АО,Пакистан
IU-3441,МЧС России ФГУАП,Папский Престол (Государство &mdash; город Ватикан)
HT-2251,Саратовские авиалинии,Сьерра-Леоне
Be-6225,Нижневартовскавиа,Дания
HO-7138,Ижавиа ОАО,Беларусь
Ke-7821,Аэропорт Оренбург,Южный Судан
KY-3513,ВОЛГА-ДНЕПР,Вануату
MN-8388,ДОНАВИА,Шри-Ланка
OT-2592,Ижавиа ОАО,Гибралтар
IF-8981,Меридиан,Кения
PH-8578,Авиакомпания СОКОЛ,Фолклендские острова (Мальвинские)
YC-3818,,Парагвай
YT-7899,СКОЛ,Центрально-Африканская Республика
KN-9038,Амур,Сирийская Арабская Республика
DZ-3956,Авиакомпания СОКОЛ,Испания
TJ-3308,Грозный Авиа ПАО,Папуа-Новая Гвинея
AS-5377,Роствертол-Авиа, ЗАО,Никарагуа
